model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
Medformer,OK,0.8904109539336649,3,13,2,0,0.00038306255229000175,32,0.14817559610443462,0.006734814910932102,2.0,"{""d_model"": 128, ""n_heads"": 8, ""n_layers"": 4}",0.7816537467700259,0.8747220163083765,0.9035222052067381,0.8477011494252874,0.566672192749779,3.1216338049333445
iTransformer,OK,0.8904109539336649,1,15,0,0,0.0004059611610484307,64,0.17277800745684632,0.00037520558551242813,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 3, ""d_ff"": 256}",0.648578811369509,0.7763157894736842,0.9076923076923077,0.6781609195402298,0.5229424550545241,1.5369401754833234
CrossGNN,OK,0.8904109539336649,11,15,0,0,0.004214964322181723,128,0.04981557705483772,9.061819749730862e-05,2.0,"{""d_model"": 128, ""n_layers"": 2}",0.47674418604651164,0.6153846153846154,0.907563025210084,0.46551724137931033,0.5330459770114943,1.012586471350005
TSLANet,OK,0.8904109539336649,4,13,2,0,0.0010514156647893176,32,0.12056156574538016,0.0009186066145996931,2.0,"{""d_model"": 256, ""n_blocks"": 4}",0.27906976744186046,0.3556581986143187,0.9058823529411765,0.22126436781609196,0.4549255820807545,1.8293591427999976
PatchTST,OK,0.8919382454566049,1,14,1,0,0.0004059611610484307,64,0.17277800745684632,0.00037520558551242813,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 3, ""d_ff"": 256}",0.22868217054263565,0.2620519159456119,0.9380530973451328,0.15229885057471265,0.5338288387857354,1.6289221618500052
ModernTCN,OK,0.8973912993623591,3,9,6,0,0.00011348084525743877,32,0.2799500039686389,0.0006547566763465703,2.0,"{""d_model"": 256, ""n_blocks"": 2}",0.15374677002583978,0.11605937921727395,0.9555555555555556,0.0617816091954023,0.4470140730916593,1.2655300398000084
TimesNet,OK,0.893542752428692,3,15,0,0,0.006871784835110335,128,0.09273902137180276,0.0023387637644687593,2.0,"{""d_model"": 32, ""n_blocks"": 4, ""k_periods"": 2}",0.15374677002583978,0.11366711772665765,0.9767441860465116,0.0603448275862069,0.4770022841143531,2.1671767352499955
Mamba2,OK,0.8993055505715905,8,15,0,0,0.0032130974278509502,64,0.17239115226229662,0.003886761371261333,2.0,"{""d_model"": 32, ""d_state"": 32, ""n_layers"": 2}",0.13953488372093023,0.08264462809917356,1.0,0.04310344827586207,0.4500257883878574,6.752157731433332
TimeMixerPP,OK,0.8977469620887335,15,15,0,1,0.000273718311907921,64,0.05269047575554833,5.0323035246704724e-05,2.0,"{""d_model"": 128, ""n_blocks"": 2, ""k_periods"": 4, ""n_heads"": 4}",0.13178294573643412,0.06666666666666667,1.0,0.034482758620689655,0.4684184350132626,2.796916279833325
TransformerCNN,OK,0.896193766645634,6,13,2,0,0.0004647224436525815,32,0.03168182525566518,0.0025733188092845072,2.0,"{""d_model"": 256, ""n_heads"": 4, ""n_layers"": 4, ""d_ff"": 256, ""n_conv_layers"": 1, ""cnn_kernel"": 3}",0.10077519379844961,0.0,0.0,0.0,0.3934294871794872,2.2415982939333237
